country,Continent,variable,series_id,source,frequency
Albania,Europe,Gini Index,SIPOVGINIALB,World Bank,a
Albania,Europe,GDP per Capita,NYGDPPCAPKDALB,World Bank,a
Algeria,Africa,Gini Index,SIPOVGINIDZA,World Bank,a
Algeria,Africa,GDP per Capita,NYGDPPCAPKDDZA,World Bank,a
Angola,Africa,Gini Index,SIPOVGINIAGO,World Bank,a
Angola,Africa,GDP per Capita,NYGDPPCAPKDAGO,World Bank,a
Argentina,South America,Real GDP,NGDPRSAXDCARQ,IMF,q
Argentina,South America,Inflation Rate,ARGCPALTT01GYM,OECD,m
Argentina,South America,Gini Index,SIPOVGINIARG,World Bank,a
Argentina,South America,GDP per Capita,NYGDPPCAPKDARG,World Bank,a
Australia,Australia and Oceania,Unemployment Rate,LRHUTTTTAUM156S,OECD,m
Australia,Australia and Oceania,Real GDP,NGDPRSAXDCAUQ,IMF,q
Australia,Australia and Oceania,Labor Force Participation Rate,LRAC64TTAUQ156S,OECD,q
Australia,Australia and Oceania,Labor Compensation (Manufacturing),LCEAMN01AUQ659S,OECD,q
Australia,Australia and Oceania,Gini Index,SIPOVGINIAUS,World Bank,a
Australia,Australia and Oceania,GDP per Capita,NYGDPPCAPKDAUS,World Bank,a
Austria,Europe,10 Year Interest Rate,IRLTLT01ATM156N,OECD,m
Austria,Europe,Inflation Rate,CPALTT01ATM659N,OECD,m
Austria,Europe,Labor Force Participation Rate,LRAC64TTATQ156S,OECD,q
Austria,Europe,Labor Compensation (Manufacturing),LCEAMN01ATQ659S,OECD,q
Austria,Europe,Labor Compensation (Private Sector),LCEAPR01ATQ661S,OECD,q
Austria,Europe,Gini Index,SIPOVGINIAUT,World Bank,a
Austria,Europe,GDP per Capita,NYGDPPCAPKDAUT,World Bank,a
Belgium,Europe,Unemployment Rate,LRHUTTTTBEM156S,OECD,m
Belgium,Europe,Real GDP,CLVMNACSCAB1GQBE,Eurostat,q
Belgium,Europe,Inflation Rate,CPALTT01BEM659N,OECD,m
Belgium,Europe,Labor Force Participation Rate,LRAC64TTBEQ156S,OECD,q
Belgium,Europe,Labor Compensation (Manufacturing),LCEAMN01BEQ659S,OECD,q
Belgium,Europe,Labor Compensation (Private Sector),LCEAPR01BEQ661S,OECD,q
Belgium,Europe,Gini Index,SIPOVGINIBEL,World Bank,a
Belgium,Europe,GDP per Capita,NYGDPPCAPKDBEL,World Bank,a
Bosnia and Herzegovina,Europe,Gini Index,SIPOVGINIBIH,World Bank,a
Bosnia and Herzegovina,Europe,GDP per Capita,NYGDPPCAPKDBIH,World Bank,a
Brazil,South America,Real GDP,NGDPRSAXDCBRQ,IMF,q
Brazil,South America,Inflation Rate,CPALTT01BRM659N,OECD,m
Brazil,South America,Central Bank Policy Rate,IRSTCB01BRM156N,OECD,m
Brazil,South America,Gini Index,SIPOVGINIBRA,World Bank,a
Brazil,South America,GDP per Capita,NYGDPPCAPKDBRA,World Bank,a
Bulgaria,Europe,Gini Index,SIPOVGINIBGR,World Bank,a
Bulgaria,Europe,GDP per Capita,NYGDPPCAPKDBGR,World Bank,a
Canada,North America,Unemployment Rate,LRHUTTTTCAM156S,OECD,m
Canada,North America,Real GDP,NGDPRSAXDCCAQ,IMF,q
Canada,North America,Inflation Rate,CPALTT01CAM659N,OECD,m
Canada,North America,Central Bank Policy Rate,IRSTCB01CAM156N,OECD,m
Canada,North America,Labor Force Participation Rate,LRAC64TTCAQ156S,OECD,q
Canada,North America,Labor Compensation (Manufacturing),LCEAMN01CAQ659S,OECD,q
Canada,North America,Gini Index,SIPOVGINICAN,World Bank,a
Canada,North America,GDP per Capita,NYGDPPCAPKDCAN,World Bank,a
Chile,South America,Inflation Rate,CPALTT01CLM659N,OECD,m
Chile,South America,Labor Force Participation Rate,LRAC64TTCLQ156S,OECD,q
Chile,South America,Gini Index,SIPOVGINICHL,World Bank,a
Chile,South America,GDP per Capita,NYGDPPCAPKDCHL,World Bank,a
China,Asia,Inflation Rate,CPALTT01CNM659N,OECD,m
China,Asia,Central Bank Policy Rate,IRSTCB01CNM156N,OECD,m
China,Asia,Gini Index,SIPOVGINICHN,World Bank,a
China,Asia,GDP per Capita,NYGDPPCAPKDCHN,World Bank,a
Colombia,South America,Inflation Rate,COLCPALTT01GYM,OECD,m
Colombia,South America,Gini Index,SIPOVGINICOL,World Bank,a
Colombia,South America,GDP per Capita,NYGDPPCAPKDCOL,World Bank,a
Costa Rica,North America,Inflation Rate,CRICPALTT01GYM,OECD,m
Costa Rica,North America,Gini Index,SIPOVGINICRI,World Bank,a
Costa Rica,North America,GDP per Capita,NYGDPPCAPKDCRI,World Bank,a
Croatia,Europe,Gini Index,SIPOVGINIHRV,World Bank,a
